vertex_row,dx,dy,dz,dnx,dny,dnz,wing_partition_weight,skin_node_indices,skin_node_names,skin_weights
329,-10.989603,4.3627357,13.681007,-0.13293517,0.27647632,-0.17862782,0.9999998807907104,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.7916666865348816, 0.12499989569187164, 0.0833333358168602]"
330,-1.1056709,5.8779945,-1.6984787,-0.32149702,0.67808926,-0.04990065,1.0,"[37, 39, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071""]","[0.5047425627708435, 0.4092116951942444, 0.08604578673839569]"
331,-12.760807,9.96484,19.464775,-0.39465296,0.4413023,0.047070846,1.0,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.6749999523162842, 0.22499999403953552, 0.10000000149011612]"
332,-11.3547535,4.2712708,19.520927,-0.24665678,0.28082004,0.18243748,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.7999943494796753, 0.2000056505203247]"
333,-5.434786,4.478485,1.0940094,-0.3652435,0.61121064,0.035353288,1.0,"[37, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Humerus_r_bone_070""]","[0.7998001575469971, 0.20019982755184174]"
334,4.0745974,-1.5675049,-1.0610409,0.19399716,-0.10444933,0.23461282,0.33380743861198425,"[46, 39, 83, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ilium_bone_02"", ""cockatoo_Metacarpus_r_bone_072""]","[0.6519310474395752, 0.3195459246635437, 0.014261515811085701, 0.014261515811085701]"
335,6.5436983,-1.1935806,-2.2637596,0.23053199,0.4680183,0.3481811,0.42397329211235046,"[46, 39]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070""]","[0.5760267376899719, 0.42397329211235046]"
336,2.9803267,0.062316895,-0.43453217,0.049335957,0.0024328828,0.3133693,0.3668716549873352,"[46, 39, 83, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ilium_bone_02"", ""cockatoo_Metacarpus_r_bone_072""]","[0.5648751854896545, 0.29861849546432495, 0.06825316697359085, 0.06825316697359085]"
337,3.370182,-0.92149353,-0.9947281,0.16189753,0.02044949,0.0064091682,0.37558650970458984,"[46, 39, 37, 38]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.6244135499000549, 0.20327089726924896, 0.08615779876708984, 0.08615779876708984]"
338,4.87593,2.5600243,0.52918243,-0.08745319,-0.020626724,-0.45386392,0.46102002263069153,"[46, 39, 37, 38]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.5389800667762756, 0.3151291310787201, 0.07294544577598572, 0.07294544577598572]"
339,6.776476,-0.013412476,-0.21395493,-0.31850556,-0.50742483,-0.33348238,0.43627607822418213,"[46, 39, 83, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ilium_bone_02"", ""cockatoo_Metacarpus_r_bone_072""]","[0.5517553091049194, 0.42430755496025085, 0.011968526989221573, 0.011968526989221573]"
340,2.7702656,-0.7961273,-0.11498451,-0.25172386,-0.04607624,0.12515879,0.2862679362297058,"[46, 39, 83, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ilium_bone_02"", ""cockatoo_Metacarpus_r_bone_072""]","[0.6847177743911743, 0.25725358724594116, 0.029014337807893753, 0.029014337807893753]"
341,4.165552,1.6842194,-0.100271225,-0.42697504,-0.60526305,-0.2835335,0.42635634541511536,"[46, 39, 37, 38]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.573643684387207, 0.23024967312812805, 0.09805334359407425, 0.09805334359407425]"
342,-4.316868,8.644474,4.182335,0.258978,-0.4989874,0.08073695,1.0,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.6749999523162842, 0.22499999403953552, 0.10000000149011612]"
343,-4.543274,8.984325,3.6710434,0.33978707,-0.8165706,-0.27388147,1.0,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.6749999523162842, 0.22500000894069672, 0.10000001639127731]"
344,12.54373,-0.64136124,-16.897163,0.6493822,-0.83018905,0.06940293,1.0,"[39, 37, 38]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.6507557034492493, 0.2343721240758896, 0.11487219482660294]"
345,12.274078,-0.7231293,-17.342346,0.3633873,-0.7288345,0.15239024,1.0,"[39, 37, 38]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.6551510095596313, 0.23434415459632874, 0.1105048805475235]"
346,22.131021,-5.279728,-15.94104,0.38629103,-1.1273029,0.51060265,0.9896277189254761,"[39, 46]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03""]","[0.9896277189254761, 0.010372288525104523]"
347,21.772812,-5.1359787,-15.960506,0.00933969,-1.0630014,0.46229437,0.9873476028442383,"[39, 46]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03""]","[0.9873476028442383, 0.01265241950750351]"
348,21.359547,-4.442116,-18.090229,0.09555882,-0.95281315,0.54754996,0.9888505935668945,"[39, 38, 37, 83]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ilium_bone_02""]","[0.9637330770492554, 0.013678723946213722, 0.011438816785812378, 0.011149383150041103]"
349,7.5150146,0.23295212,-6.9449234,0.21907473,0.52826446,-0.70889485,1.0,"[39, 37, 38]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.6511240601539612, 0.23553913831710815, 0.11333680897951126]"
350,-8.260483,8.296917,14.911873,-0.30134475,0.4703496,-0.23425423,1.0,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.6749999523162842, 0.22499999403953552, 0.10000000894069672]"
351,-7.7919884,8.177219,15.259529,-0.2561285,0.7896665,-0.042289793,1.0,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.675000011920929, 0.22500000894069672, 0.10000000149011612]"
352,15.335568,-2.2442322,-3.2881851,0.26431394,-0.17016773,-0.06886196,0.5974188446998596,"[39, 46]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03""]","[0.5974188446998596, 0.402581125497818]"
353,18.696411,-2.5867805,-3.030136,0.43457443,0.012879714,-0.3245911,0.698865532875061,"[39, 46]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03""]","[0.698865532875061, 0.30113446712493896]"
354,18.495113,-2.456646,-2.920292,0.30003956,0.2712287,-0.34217578,0.6992000937461853,"[39, 46]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03""]","[0.6992000937461853, 0.3007998764514923]"
355,15.22597,-2.117157,-3.3195038,0.25735456,0.15670371,-0.24215895,0.5966739654541016,"[39, 46]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03""]","[0.5966739654541016, 0.4033260643482208]"
356,-11.644743,10.063545,17.00695,0.34609014,0.64400554,0.054243714,1.0,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.6749999523162842, 0.22499999403953552, 0.10000000149011612]"
357,-8.688671,8.117428,14.646446,0.88813764,-0.037921876,-0.5314735,1.0,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.6749999523162842, 0.22500000894069672, 0.10000000894069672]"
358,-8.520153,9.464481,6.139145,0.098249435,-0.29284725,-0.16284649,1.0,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.6749999523162842, 0.22499999403953552, 0.10000000149011612]"
359,-10.696277,5.1709747,4.200859,-0.041495085,0.09712298,0.099807814,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
360,-11.239387,4.482727,7.794792,0.029733002,-0.059386015,-0.29092205,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
361,-11.078728,5.062355,11.931328,0.0296731,-0.17208108,-0.32991195,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.7999951839447021, 0.20000478625297546]"
362,-10.569208,5.1937637,10.321754,0.2152074,-0.26300296,-0.1617426,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.7999886870384216, 0.20001134276390076]"
363,2.1036024,-1.0206871,-0.56321144,0.34126166,-0.3971557,-0.05095768,0.37965190410614014,"[46, 39, 38, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072""]","[0.6203480958938599, 0.19550909101963043, 0.12889999151229858, 0.05524284020066261]"
364,2.6576872,-1.080658,-1.3865337,0.23354979,-0.79375243,0.30634516,0.45544254779815674,"[46, 39, 38, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072""]","[0.5445574522018433, 0.20439119637012482, 0.1757359653711319, 0.07531538605690002]"
365,1.233098,-0.12407303,0.23843002,-0.19401708,-0.18224272,-0.0393371,0.24554067850112915,"[46, 39, 37, 38]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.7544593811035156, 0.13245752453804016, 0.056541573256254196, 0.056541573256254196]"
366,0.6972017,-0.61105347,0.1485939,0.0053914785,-0.016322672,-0.0051746964,0.19344308972358704,"[46, 39, 43, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Head_bone_06"", ""cockatoo_Metacarpus_r_bone_072""]","[0.7528857588768005, 0.13977190852165222, 0.05367118492722511, 0.05367118492722511]"
367,-5.420498,4.5311813,-2.800087,0.32107306,-0.49558714,0.053315327,1.0000001192092896,"[37, 39, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071""]","[0.7599302530288696, 0.20013198256492615, 0.039937812834978104]"
368,-9.9761915,4.6248207,3.9745026,0.10067576,-0.25377864,0.061663836,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
369,-10.828804,10.034561,17.394478,-0.31420386,0.49559456,-0.1843342,1.0,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.675000011920929, 0.2250000387430191, 0.10000001639127731]"
370,5.955099,0.87846375,-8.255363,-0.16270769,0.8746383,-0.19813131,1.0,"[39, 37]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072""]","[0.543049693107605, 0.456950306892395]"
371,7.3753242,0.32889938,-7.088196,-0.03601253,0.65129143,-0.467542,1.0,"[39, 37, 38]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.653601348400116, 0.23671621084213257, 0.10968242585659027]"
372,12.908431,-1.6215363,-3.6616688,0.25282305,0.18197262,-0.27593005,0.575855553150177,"[39, 46]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03""]","[0.575855553150177, 0.424144446849823]"
373,11.132564,-2.4853058,-3.390976,0.032067835,0.538985,0.25873476,0.4855686128139496,"[46, 39]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070""]","[0.514431357383728, 0.4855686128139496]"
374,12.789728,-1.7821655,-0.3868065,0.050150156,-0.026643753,-0.12352134,0.5609204769134521,"[39, 46]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03""]","[0.5609204769134521, 0.4390795826911926]"
375,17.896074,-4.4016266,-3.2289925,-0.2154367,-0.22639191,0.35174415,0.6492816209793091,"[39, 46]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03""]","[0.6492816209793091, 0.3507183790206909]"
376,15.75944,-3.9548416,-2.0282974,-0.11703801,-0.13658541,0.32621357,0.5962820053100586,"[39, 46]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03""]","[0.5962820053100586, 0.403717964887619]"
377,9.669408,-1.8318481,-1.1616688,0.056679428,-0.1228714,0.13928601,0.4401323199272156,"[46, 39, 50, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_FeatherTail_r_2_bone_0108"", ""cockatoo_Metacarpus_r_bone_072""]","[0.5456900596618652, 0.4259546101093292, 0.014177707023918629, 0.014177707023918629]"
378,1.0953426,-0.7667656,0.083004,0.057895318,0.14270225,0.083305895,0.22968047857284546,"[46, 39, 37, 38]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.7703195214271545, 0.12390172481536865, 0.052889384329319, 0.052889384329319]"
381,7.662018,-0.2594719,-7.367302,0.7473943,0.28752542,0.06269258,1.0,"[39, 37, 38]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.6522799134254456, 0.23711203038692474, 0.11060801893472672]"
382,21.651514,-4.4261856,-17.951656,0.0016524941,-0.607682,0.803733,0.988152265548706,"[39, 38, 37, 83]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ilium_bone_02""]","[0.9605424404144287, 0.015213069505989552, 0.012396748177707195, 0.01184778567403555]"
383,19.327374,-2.9629784,-14.627327,1.5530031,-0.4448231,0.66345537,1.0,"[39, 38]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071""]","[0.9837916493415833, 0.016208380460739136]"
384,20.121855,-3.5335274,-13.867004,1.5073335,-0.50338626,0.55605054,1.0,[39],"[""cockatoo_Humerus_r_bone_070""]",[1.0]
385,-8.116188,9.207413,6.314926,0.29201245,-0.45838812,-0.09161955,1.0,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.6749999523162842, 0.22499999403953552, 0.10000000149011612]"
386,7.662018,-0.2594719,-7.367302,0.32301512,0.34118497,-0.27403188,1.0,"[39, 37, 38]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.6522799134254456, 0.23711203038692474, 0.11060801893472672]"
387,-8.688671,8.117428,14.646446,-0.9369062,0.026691094,-0.91867554,1.0,"[37, 38, 39]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Humerus_r_bone_070""]","[0.6749999523162842, 0.22500000894069672, 0.10000000894069672]"
388,2.1128526,-1.5228348,-0.5577183,0.5768945,0.037297606,0.19360735,0.3711162507534027,"[46, 39, 38, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072""]","[0.6288837790489197, 0.1671680063009262, 0.1631585955619812, 0.04078962281346321]"
389,2.1036024,-1.0206871,-0.56321144,0.35372922,-0.411667,-0.10319871,0.37965190410614014,"[46, 39, 38, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072""]","[0.6203480958938599, 0.19550909101963043, 0.12889999151229858, 0.05524284020066261]"
390,0.6972017,-0.61105347,0.1485939,0.02031961,0.04478693,0.11568561,0.19344308972358704,"[46, 39, 43, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Head_bone_06"", ""cockatoo_Metacarpus_r_bone_072""]","[0.7528857588768005, 0.13977190852165222, 0.05367118492722511, 0.05367118492722511]"
391,1.071917,-0.83686066,0.22821045,0.20417854,0.045469582,0.07363844,0.2655404210090637,"[46, 39, 38]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071""]","[0.7344595789909363, 0.18954044580459595, 0.07599998265504837]"
392,-9.800518,4.877445,10.376595,-0.19208741,0.31959748,-0.19268394,1.0,"[37, 39, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071""]","[0.7363636493682861, 0.16363638639450073, 0.09999999403953552]"
393,-8.360925,2.7245445,8.51416,-0.3425305,0.44665745,-0.02993989,1.0,[37],"[""cockatoo_Metacarpus_r_bone_072""]",[1.0]
394,-9.483124,3.036148,8.595379,-0.24561131,0.4321674,-0.040942162,1.0,[37],"[""cockatoo_Metacarpus_r_bone_072""]",[1.0]
395,-10.219411,4.939991,4.210594,0.0674966,-0.70393175,0.0009185672,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
396,-9.9761915,4.6248207,3.9745026,0.19262362,-0.60589224,-0.057908952,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
397,-8.499064,2.864441,4.8992577,0.24204117,-0.5379347,0.19851536,1.0,[37],"[""cockatoo_Metacarpus_r_bone_072""]",[1.0]
398,-9.587615,3.6232338,5.0454216,0.1450234,-0.42709106,0.18367761,1.0,[37],"[""cockatoo_Metacarpus_r_bone_072""]",[1.0]
399,-7.499836,5.359829,7.3895035,0.09100616,0.18788436,-0.17608744,1.0,"[37, 39, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071""]","[0.45000001788139343, 0.42307689785957336, 0.1269230842590332]"
400,-9.171752,5.512703,8.396614,-0.053459346,0.119205475,-0.085855305,1.0,"[37, 39, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071""]","[0.5000000596046448, 0.38461530208587646, 0.11538461595773697]"
401,1.7455988,-0.49837112,3.1532707,-0.1487649,0.17493427,-0.20843193,0.8945497870445251,"[39, 46, 37, 38]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.857038676738739, 0.10545019805431366, 0.024382224306464195, 0.01312889065593481]"
402,2.833528,3.6190987,0.141716,-0.019312471,-0.018188655,0.10859467,0.6384734511375427,"[39, 46, 37, 38]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.40306487679481506, 0.36152660846710205, 0.11817290633916855, 0.11723566055297852]"
